Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
pnaun,,,VI,,,kuleze ,,,,,,,
pneon,,,VI,,,gupuhe ,,,,,,,
pnuen,,,VI,,,jicazu ,,,,,,,
prae,,,VT,,,motuwa ,,,,,,,
proi,,,VT,,,winiza ,,,,,,,
prui,,,VT_P0,,,fivuge ,,,,,,,
pseo,,,VI_va_fo,,,ziceri ,,,,,,,
psulo,,,VT,,,zemido ,,,,,,,
pubdel,,,VI,,,zorace ,,,,,,,
pure,,,VT,,,miciko ,,,,,,,
puren,,,VI,,,qiceva ,,,,,,,
sahar,,,VI,,,pazuti ,,,,,,,
sari,,,VT,,,jokovi ,,,,,,,
saul,,,VI,,,kayayu ,,,,,,,
saura,,,VUA,,,sotici ,,,,,,,
saura,,,VT,,,cemahi ,,,,,,,
serie,,,VT,,,dihodu ,,,,,,,
serin,,,VI,,,rofoga ,,,,,,,
sfia,,,VT,,,bipora ,,,,,,,
sfia,,,VI_va_fo,,,pedobu ,,,,,,,
sibdin,,,VI,,,vuvifo ,,,,,,,
sier,,,VI,,,jetoja ,,,,,,,
skal,,,VI,,,futeyu ,,,,,,,
skan,,,VI,,,gegulu ,,,,,,,
sken,,,VI,,,yilahu ,,,,,,,
ski,,,VT_P0,,,wogika ,,,,,,,
skin,,,VI,,,dosoko ,,,,,,,
skinu,,,VT,,,zisime 21,,,,,,,
skiru,,,VT,,,pizada 21,,,,,,,
skol,,,VI,,,zakelo ,,,,,,,
skuli,,,VT,,,lopogi ,,,,,,,
sna,,,VI_P0,,,votigo ,,,,,,,
snai,,,VT_P1,,,rabure ,,,,,,,
sni,,,VI_P0,,,wipiyo ,,,,,,,
snoil,,,VI,,,huviji ,,,,,,,
snu,,,VI_P0,,,tocawu ,,,,,,,
soane,,,VT,,,lecafu 21,,,,,,,
soeon,,,VI,,,zayawa ,,,,,,,
soli,,,VT_P1,,,tiheya ,,,,,,,
