Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
sindir,,,VT,,,buliki ,,,,,,,
sinek,,,N,,,zijiku ,,,,,,,
sivrisinek,,,N,,,ruziqo ,,,,,,,
siyah,,,AN,,,nosune ,,,,,,,
skandiyum,,,N,,,vudece ,,,,,,,
soba,,,N,,,tagowu ,,,,,,,
sodyum,,,N,,,lejufi ,,,,,,,
soya sosu,,,N,,,roneli ,,,,,,,
soğan,,,N,,,zepuqu ,,,,,,,
soğuk,,,AN,,,jibuda ,,,,,,,
spiral,,,N,,,futova ,,,,,,,
su,,,N,,,seliwa ,,,,,,,
sucuk,,,N,,,comude ,,,,,,,
susuz,,,AN,,,datiso ,,,,,,,
sümük,,,N,,,diqece ,,,,,,,
süt,,,N,,,lumica ,,,,,,,
sütyen,,,N,,,qutaji ,,,,,,,
süveter,,,N,,,rifato ,,,,,,,
sıfır,,,N,,,deneyu ,,,,,,,
sıra,,,N,,,rayema ,,,,,,,
sırt,,,N,,,joveta ,,,,,,,
sırtlan,,,N,,,nulofa ,,,,,,,
sıvı,,,AN,,,jigota ,,,,,,,
sıçan,,,N,,,bezeru ,,,,,,,
tabak,,,N,,,nomeza ,,,,,,,
tamam,,,INTJ,,,wepuva ,,,,,,,
tamsayı,,,N,,,nuvapa ,,,,,,,
tane,,,N₃,,,dorawo ,,,,,,,
tank,,,N,,,koyala ,,,,,,,
tanımak,,,VT,,,ciboya ,,,,,,,
tarak,,,N,,,biruso ,,,,,,,
tartış,,,VT,,,ratoce ,,,,,,,
tavşan,,,N,,,tagaze ,,,,,,,
tayyare,,,N,,,weyake ,,,,,,,
taç,,,N,,,ciqini ,,,,,,,
taş,,,N,,,takupa ,,,,,,,
taşı,,,N,,,diheqo ,,,,,,,
taşıt,,,N,,,tuhoyo ,,,,,,,
telefon,,,N,,,bifedo ,,,,,,,
telefon,,,N,,,suzezo ,,,,,,,
teneke,,,N,,,gunawa ,,,,,,,
tepe,,,N,,,fesanu ,,,,,,,
terle,,,VT,,,nuziji ,,,,,,,
terle,,,VI,,,zimazi ,,,,,,,
terle,,,VT,,,pehuwi ,,,,,,,
termometre,,,N,,,kituji ,,,,,,,
testere,,,N,,,sumesi ,,,,,,,
teşekkür et,,,VT,,,cokeyu ,,,,,,,
timsah,,,N,,,lekuri ,,,,,,,
